127.0.0.1 - - [23/Mar/2016:15:47:11 +0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [23/Mar/2016:15:58:55 +0200] "GET /inscorp/adminPanelInsurers.jsp HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [23/Mar/2016:15:59:07 +0200] "GET /inscorp/adminPanelInsurers.jsp HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [23/Mar/2016:15:59:07 +0200] "GET /inscorp/style.css HTTP/1.1" 200 2693
0:0:0:0:0:0:0:1 - - [23/Mar/2016:15:59:08 +0200] "GET /inscorp/adminPanelInsurers.jsp HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [23/Mar/2016:15:59:08 +0200] "GET /inscorp/style.css HTTP/1.1" 200 2693
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:10:49 +0200] "GET /inscorp/adminPanelInsurers.jsp HTTP/1.1" 200 1217
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:11:13 +0200] "GET /inscorp/adminPanelInsurers.jsp HTTP/1.1" 200 1280
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:11:13 +0200] "GET /inscorp/style.css HTTP/1.1" 200 2693
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:20:34 +0200] "GET /inscorp/adminPanel.jsp HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:20:35 +0200] "GET /inscorp/adminPanelAddInsurer.jsp HTTP/1.1" 200 2227
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:20:38 +0200] "GET /inscorp/adminPanelSettings.jsp HTTP/1.1" 200 2055
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:21:02 +0200] "GET /inscorp/adminPanelInsurers.jsp HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:21:08 +0200] "GET /inscorp/adminPanelSettings.jsp HTTP/1.1" 200 2055
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:22:17 +0200] "GET /inscorp/adminPanelSettings.jsp HTTP/1.1" 200 2047
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:22:17 +0200] "GET /inscorp/style.css HTTP/1.1" 200 2693
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:29:18 +0200] "GET /inscorp/adminPanelSettings.jsp HTTP/1.1" 200 2070
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:29:18 +0200] "GET /inscorp/style.css HTTP/1.1" 200 2693
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:31:00 +0200] "GET /inscorp/adminPanelSettings.jsp HTTP/1.1" 200 2077
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:31:00 +0200] "GET /inscorp/style.css HTTP/1.1" 200 2693
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:31:16 +0200] "GET /inscorp/adminPanelSettings.jsp HTTP/1.1" 200 2062
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:31:16 +0200] "GET /inscorp/style.css HTTP/1.1" 200 2693
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:33:49 +0200] "GET /inscorp/adminPanelSettings.jsp HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:33:49 +0200] "GET /inscorp/style.css HTTP/1.1" 200 2693
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:35:16 +0200] "GET /inscorp/adminPanelSettings.jsp HTTP/1.1" 200 2132
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:35:16 +0200] "GET /inscorp/style.css HTTP/1.1" 200 2693
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:35:20 +0200] "GET /inscorp/adminPanelInsurers.jsp HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:35:20 +0200] "GET /inscorp/style.css HTTP/1.1" 200 2693
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:35:21 +0200] "GET /inscorp/adminPanelInsurers.jsp HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:35:22 +0200] "GET /inscorp/adminPanelSettings.jsp HTTP/1.1" 200 2132
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:38:03 +0200] "GET /inscorp/adminPanelSettings.jsp HTTP/1.1" 200 2132
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:38:03 +0200] "GET /inscorp/style.css HTTP/1.1" 200 2693
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:38:34 +0200] "GET /inscorp/adminPanelAddInsurer.jsp HTTP/1.1" 200 2227
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:38:37 +0200] "GET /inscorp/adminPanelAddInsurer.jsp HTTP/1.1" 200 2227
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:38:37 +0200] "GET /inscorp/style.css HTTP/1.1" 200 2693
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:38:39 +0200] "GET /inscorp/adminPanelSettings.jsp HTTP/1.1" 200 2132
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:38:40 +0200] "GET /inscorp/adminPanelSettings.jsp HTTP/1.1" 200 2132
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:38:40 +0200] "GET /inscorp/style.css HTTP/1.1" 200 2693
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:38:41 +0200] "GET /inscorp/adminPanelAddInsurer.jsp HTTP/1.1" 200 2227
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:38:42 +0200] "GET /inscorp/adminPanelSettings.jsp HTTP/1.1" 200 2132
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:38:43 +0200] "GET /inscorp/adminPanelInsurers.jsp HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:39:51 +0200] "GET /inscorp/adminPanelInsurers.jsp HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:39:51 +0200] "GET /inscorp/style.css HTTP/1.1" 200 2711
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:40:48 +0200] "GET /inscorp/adminPanelInsurers.jsp HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:40:48 +0200] "GET /inscorp/style.css HTTP/1.1" 200 2757
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:40:49 +0200] "GET /inscorp/adminPanelInsurers.jsp HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:40:50 +0200] "GET /inscorp/style.css HTTP/1.1" 200 2757
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:41:30 +0200] "GET /inscorp/login.jsp HTTP/1.1" 200 914
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:41:30 +0200] "GET /inscorp/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:41:39 +0200] "POST /inscorp/login HTTP/1.1" 200 912
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:41:39 +0200] "GET /inscorp/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:41:50 +0200] "POST /inscorp/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:41:50 +0200] "GET /inscorp/insurer.jsp HTTP/1.1" 200 803
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:41:50 +0200] "GET /inscorp/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:41:54 +0200] "GET /inscorp/insurerAddNewKasko.jsp HTTP/1.1" 200 11833
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:41:54 +0200] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:41:54 +0200] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:41:57 +0200] "GET /inscorp/insurerSettings.jsp HTTP/1.1" 200 2114
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:41:57 +0200] "GET /inscorp/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:42:56 +0200] "GET /inscorp/insurerSettings.jsp HTTP/1.1" 200 2143
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:42:56 +0200] "GET /inscorp/style.css HTTP/1.1" 200 2757
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:44:33 +0200] "GET /inscorp/insurerSettings.jsp HTTP/1.1" 200 2175
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:44:33 +0200] "GET /inscorp/style.css HTTP/1.1" 200 2757
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:46:40 +0200] "GET /inscorp/insurerSettings.jsp HTTP/1.1" 200 2260
0:0:0:0:0:0:0:1 - - [23/Mar/2016:16:46:40 +0200] "GET /inscorp/style.css HTTP/1.1" 200 2757
